incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
ASSIST OTHER AGENCY,13-001488,15:00,2013-01-18,"3501 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-001490,15:15,2013-01-18,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ROBBERY,13-001494,15:44,2013-01-18,"CATO ST AND WARD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
WANTED PERSON,13-001501,17:36,2013-01-18,"S BELLEFIELD AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001503,18:07,2013-01-18,"PETERSEN SPORTS COMPLEX - 395 ROBINSON ST PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001524,21:40,2013-01-18,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001531,23:23,2013-01-18,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-001535,23:36,2013-01-18,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001536,23:40,2013-01-18,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001545,00:31,2013-01-19,"LOUISA ST AND ATWOOD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001549,01:12,2013-01-19,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001554,02:07,2013-01-19,"EULER WAY PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001568,07:08,2013-01-19,"414 MCKEE PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-001579,10:05,2013-01-19,"3700 O'HARA ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001588,13:12,2013-01-19,"MEDICAL ARTS BUILDING - 3708 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - BURGLARY,13-001600,16:16,2013-01-19,"3456 BATES ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001612,18:12,2013-01-19,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
PSYCHIATRIC NON VIOLENT,13-001620,19:31,2013-01-19,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-001644,23:34,2013-01-19,"RUSKIN HALL - 120 RUSKIN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-001655,00:42,2013-01-20,"MELWOOD MAINTENANCE BLDG - 480 MELWOOD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001658,00:48,2013-01-20,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001661,01:07,2013-01-20,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - SEX OFFENSE,13-001665,02:00,2013-01-20,"3318 JULIET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-001666,02:05,2013-01-20,"SUTHERLAND HALL - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-001670,03:01,2013-01-20,"3900 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001681,09:36,2013-01-20,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001682,09:46,2013-01-20,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001716,01:19,2013-01-21,"BIGELOW BLVD AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-001718,02:05,2013-01-21,"S. BOUQUET ST AND FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-001726,04:21,2013-01-21,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001744,14:19,2013-01-21,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001745,14:34,2013-01-21,"EULER WAY PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001747,15:23,2013-01-21,"LOTHROP ST AND VICTORIA ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM - HOLD UP,13-001749,16:00,2013-01-21,"130 NORTH BELLEFIELD , PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001750,16:21,2013-01-21,"334 S. BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-001760,19:23,2013-01-21,"BIOMEDICAL SCIENCE TOWER 3 - 3501 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001761,20:05,2013-01-21,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001800,08:25,2013-01-22,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001803,09:17,2013-01-22,"LAW SCHOOL - 3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-001804,09:57,2013-01-22,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-001808,12:26,2013-01-22,"ALUMNI HALL - 4227 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001813,14:23,2013-01-22,"PETERSEN EVENTS CENTER - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001814,14:41,2013-01-22,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001815,14:44,2013-01-22,"POSVAR HALL - 230 S BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001817,15:51,2013-01-22,"FRICK FINE ARTS BUILDING - 650 SCHENLEY DR PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001821,16:44,2013-01-22,"252 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001824,17:28,2013-01-22,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001850,23:52,2013-01-22,"CENTRE PLAZA APARTMENTS - 5032 CENTRE AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-001867,02:20,2013-01-23,"PANTHER HALL - 3805 UNIVERSITY C DR PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001874,04:49,2013-01-23,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001880,06:09,2013-01-23,"5TH AVE AND BIGELOW BLVD PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001889,08:12,2013-01-23,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001894,11:46,2013-01-23,"SUTHERLAND HALL - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001896,11:55,2013-01-23,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-001900,14:08,2013-01-23,"GRADUATE SCHOOL OF PUBLICH HEALTH - 130 DESOTO ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-001902,15:07,2013-01-23,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001903,15:10,2013-01-23,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-001905,15:27,2013-01-23,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001915,17:23,2013-01-23,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001928,21:02,2013-01-23,"3600 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ELEVATOR ENTRAPMENT,13-001929,21:05,2013-01-23,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001930,21:09,2013-01-23,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-001954,01:22,2013-01-24,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-001975,10:31,2013-01-24,"CLAPP HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-001976,10:35,2013-01-24,"GRADUATE SCHOOL OF PUBLICH HEALTH - 130 DESOTO ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-001978,11:23,2013-01-24,"MELWOOD MAINTENANCE BLDG - 480 MELWOOD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-001980,12:18,2013-01-24,"EBERLY HALL - 200 UNIVERSITY DRIVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - BURGLARY,13-001982,13:04,2013-01-24,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-001983,13:38,2013-01-24,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-001986,14:05,2013-01-24,"ROBERTO CLEMENTE DR PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002017,20:52,2013-01-24,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-002030,22:58,2013-01-24,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002037,00:24,2013-01-25,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-002048,01:24,2013-01-25,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-002050,01:40,2013-01-25,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-002051,01:43,2013-01-25,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS CRIMINAL INCIDENT,13-002060,05:40,2013-01-25,"GSPH - PARRAN - 130 DESOTO ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-002076,11:26,2013-01-25,"BIOMEDICAL SCIENCE TOWER 3 - 3501 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
CAMP SEC AUTH - ALCOHOL VIOLATION,13-002077,11:29,2013-01-25,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002080,11:48,2013-01-25,"SOLDIERS & SAILORS GARAGE - 4141 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-002090,15:12,2013-01-25,"LANGLEY HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-002091,15:39,2013-01-25,"UNIVERSITY A DR PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-002092,15:49,2013-01-25,"COLLEGE GARDEN APARTMENTS - 5841 WALNUT STREET PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002108,20:50,2013-01-25,"TREES HALL - ALLEQUIPPA & DARRAGH PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-002123,00:13,2013-01-26,"SUTHERLAND DR AND ALLEQUIPPA ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRESPASSING,13-002132,00:49,2013-01-26,"3530 LOUISA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-002137,02:04,2013-01-26,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DOMESTIC-VERBAL,13-002148,04:36,2013-01-26,"416 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002153,07:40,2013-01-26,"G LOT - 200 UNIVERSITY DRIVE A PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002159,11:50,2013-01-26,"BARCO LAW BUILDING - 3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-002165,14:46,2013-01-26,"TERRACE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002178,17:10,2013-01-26,"CHEVRON SCIENCE CENTER - 219 PARKMAN AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002195,20:56,2013-01-26,"SCHENLEY PARK - BLVD OF THE ALLIES PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-002229,00:31,2013-01-27,"3900 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002245,01:28,2013-01-27,"SUTHERLAND HALL - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
UNDERAGE DRINKING,13-002255,02:19,2013-01-27,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-002260,02:49,2013-01-27,"FORBES PAVILION - 3525 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-002273,10:24,2013-01-27,"FRATERNITY HOUSING COMPLEX - UNIVERSITY A DR PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002274,11:24,2013-01-27,"427 MCKEE PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002282,16:40,2013-01-27,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
THEFT,13-002286,17:12,2013-01-27,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
WELFARE CHECK,13-002292,18:46,2013-01-27,"SIGMA ALPHA EPSILON - 3725 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002298,21:11,2013-01-27,"BOUQUET GARDENS J - 315 OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - BURGLARY,13-002325,00:41,2013-01-28,"3236 JULIET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-002333,02:38,2013-01-28,"5TH AVE AND N. BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002346,06:37,2013-01-28,"FORBES AVE AND OAKLAND AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002350,08:42,2013-01-28,"709 CLYDE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002362,12:55,2013-01-28,"ROBINSON STREET EXT PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002365,13:17,2013-01-28,"ALLEQUIPPA ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002366,13:17,2013-01-28,"MEYRAN AVE AND FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002368,14:12,2013-01-28,"BENEDUM HALL - 3700 O'HARA STREET PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-002373,15:28,2013-01-28,"PANTHER CENTRAL - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002376,16:01,2013-01-28,"THACKERAY HALL - 139 UNIVERSITY PL PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ALARM - HOLD UP,13-002387,19:46,2013-01-28,"130 N BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DOMESTIC-VERBAL,13-002409,00:39,2013-01-29,"FRAT 9 - 3701 SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
HARASSMENT-COMMUNICATIONS,13-002433,11:29,2013-01-29,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-002435,11:52,2013-01-29,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSAULT,13-002439,13:03,2013-01-29,"305 ATWOOD ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-002461,18:07,2013-01-29,"HOLLAND HALL - 3959 FIFTH AVENUE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-002464,18:44,2013-01-29,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002469,19:15,2013-01-29,"PETERSEN EVENTS CENTER - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-002470,19:35,2013-01-29,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-002472,20:15,2013-01-29,"S DITHRIDGE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-002476,20:53,2013-01-29,"COST SPORTS CENTER - ROBISON ST PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002515,08:11,2013-01-30,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
PROPERTY DAMAGE,13-002526,10:20,2013-01-30,"SCHENELY GARAGE - 3959 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-002527,10:28,2013-01-30,"WILLIAM PITT UNION - 3959 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002530,11:59,2013-01-30,"LAWRENCE HALL - 3942 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
TRAFFIC STOP,13-002541,15:49,2013-01-30,"5TH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-002563,20:14,2013-01-30,"5TH AVE AND DESOTO ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002567,21:29,2013-01-30,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-002571,21:54,2013-01-30,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-002583,00:12,2013-01-31,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002617,09:43,2013-01-31,"BIOMEDICAL SCIENCE TOWER 3 - 3501 FIFTH AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002619,09:52,2013-01-31,"WESLEY W POSVAR HALL - 230 SOUTH BOUQUET STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-002620,09:57,2013-01-31,"SALK HALL - 3501 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
FRAUD,13-002629,14:19,2013-01-31,"PITT SHOP - 3959 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002632,14:42,2013-01-31,"PARKVALE BUILDING - 200 MEYRAN AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-002635,15:28,2013-01-31,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-002642,16:18,2013-01-31,"HILLMAN LIBRARY - 3960 FORBES AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-002644,16:48,2013-01-31,"CATHEDRAL OF LEARNING - 4200 FIFTH AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-002653,19:48,2013-01-31,"SUTHERLAND DR PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS PERSON,13-002682,23:37,2013-01-31,"FRICK FINE ARTS BUILDING - 650 SCHENLEY DR PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
VANDALISM/CRIMINAL MISCHIEF,13-002685,23:57,2013-01-31,"EDWARD H. LITCHFIELD TOWER B - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-002721,03:06,2013-02-01,"CLAPP HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-002734,06:11,2013-02-01,"UNIVERSITY DR AND ALLEQUIPA ST PITTSBURGH, PA 1521",University of Pittsburgh-Pittsburgh Campus,NA,NA
