incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Unlawful Drinking Under 21,C18-0001533.A18,2018-01-26,2018-01-26,09:44,Wellman Hall,Marshall University,NA
Threat of Suicide,C18-0001540.A32,2018-01-26,2018-01-26,00:47,Twin Towers West,Marshall University,NA
Domestic Battery,C18-0001541.A30,2018-01-27,2018-01-27,02:56,North Residence Hall,Marshall University,NA
Trespassing,C18-0001624.A26,2018-01-28,2018-01-28,16:55,Henderson / Gullickson,Marshall University,NA
Larceny,C18-0001677.A27,2018-01-29,2018-01-18,13:53,Jenkins Hall,Marshall University,NA
Threat of Suicide,C18-0001766.A17,2018-01-31,2018-01-31,04:04,Twin Towers East,Marshall University,NA
Fugitive from Justice,C18-0001800.A20,2018-01-31,2018-01-31,11:51,Sheetz,Marshall University,NA
Sexual Assault,NA,2018-01-01,2018-01-01,NA,Dorms,Marshall University,NA
Suspended or Revoked License,C18-0001858.A20,2018-02-01,2018-02-01,11:45,18th Street / College Ave,Marshall University,NA
Possession of Marijuana,C18-0002142.A34,2018-02-06,2018-02-06,14:14,1800 Block / Maple Ave,Marshall University,NA
Destruction of Property,C18-0002144.A34,2018-02-06,2018-02-06,14:48,Engineering Parking Lot,Marshall University,NA
Violation of Protection Order,C18-0002147.A20,2018-02-06,2018-02-06,15:12,MUPD,Marshall University,NA
Striking Unattended Vehicle,C18-0002215.A25,2018-02-07,2018-02-06,01:51,19th Street / Madison Ave,Marshall University,NA
Trespassing,C18-0002332.A25,2018-02-09,2018-02-09,13:44,Engineering Parking Lot,Marshall University,NA
Unlawful Drinking Under 21,C18-0002373.A17,2018-02-10,2018-02-10,03:30,South Commuter Lot,Marshall University,NA
Possession of Controlled Substance,C18-0002447.A23,2018-02-11,2018-02-11,16:37,Twin Towers East,Marshall University,NA
Trespassing,C18-0002494.A27,2018-02-12,2018-02-12,15:03,Drinko Library,Marshall University,NA
Leaving the Scene of an Accident,C18-0002712.A24,2018-02-15,2018-02-15,21:45,Engineering Parking Lot,Marshall University,NA
Striking Unattended Vehicle,C18-0002922.A23,2018-02-19,2018-02-19,16:15,6th Ave Parking Garage,Marshall University,NA
Striking Unattended Vehicle,C18-0002969.A25,2018-02-20,2018-02-20,12:03,Erma Byrd Center Parking Lot,Marshall University,NA
Petit Larceny,C18-0003046.A25,2017-02-21,2017-02-20,14:37,6th Ave Parking Lot,Marshall University,NA
Domestic Battery,C18-0003169.A34,2018-02-23,2018-02-23,11:50,6th Ave Parking Lot,Marshall University,NA
Trespassing,C18-0003315.A23,2018-02-25,2018-02-25,23:54,Twin Towers West Lobby,Marshall University,NA
Trespassing,C18-0003341.A20,2018-02-26,2018-02-26,13:13,6th Ave / John Marshall Drive,Marshall University,NA
DUI 1st Aggrievated,C18-0003628.A30,2018-03-03,2018-03-03,03:18,1900 Block / 5th Avenue,Marshall University,NA
Crash Report,C18-0003745.A16,2018-03-05,2018-03-05,09:57,1600 Block / Commerce Ave,Marshall University,NA
Petit Larceny,C18-0003823.A23,2018-03-06,2018-03-05,17:31,Memorial Student Center,Marshall University,NA
Crash Report,C18-0003882.A25,2018-03-07,2018-03-07,12:08,15th Street / 4th Ave,Marshall University,NA
Suicide Threat or Attempt,C18-0003887.A27,2018-03-07,2018-03-07,14:01,South Residence Hall,Marshall University,NA
Grand Larceny,C18-0003901.A22,2018-03-07,2018-03-07,16:24,Stadium,Marshall University,NA
Fraudulent Schemes,C18-0003946.A20,2018-03-08,2018-03-08,23:03,MURC,Marshall University,NA
Disorderly Conduct,C18-0004015.A25,2018-03-09,2018-03-09,14:08,Old Main,Marshall University,NA
Destruction of Property,C18-0004049.A30,2018-03-10,2018-03-10,02:58,3rd Ave / 20th Street,Marshall University,NA
Grand Larceny,C18-0004069.A34,2018-03-10,2018-03-09,11:26,6th Ave Student Parking Lot,Marshall University,NA
Burglary,C18-0004130.A34,2018-03-11,2018-03-11,12:04,Holderby Hall,Marshall University,NA
Petit Larceny,C18-0004275.A18,2018-03-13,2018-03-13,22:30,North Residence Hall Bike Rack,Marshall University,NA
Petit Larceny,C18-0004332.A18,2018-03-14,2018-03-08,19:30,Morrow Library,Marshall University,NA
Petit Larceny,C18-0004371.A20,2018-03-15,2018-03-15,23:55,Recreation Center,Marshall University,NA
Larceny from Auto,C18-0004405.A22,2018-03-15,2018-03-15,19:12,Twin Towers Parking Lot,Marshall University,NA
Destruction of Property,C18-0004562.A34,2018-03-18,2018-03-17,10:04,South Side Science Building,Marshall University,NA
Grand Larceny,C18-0004634.A14,2018-03-19,2018-03-19,14:30,1801 5th Avenue,Marshall University,NA
Petit Larceny,C18-0004776.A31,2018-03-21,2018-02-28,14:31,Jenkins Hall,Marshall University,NA
Petit Larceny,C18-0004779.A29,2018-03-21,2018-01-30,14:54,Jenkins Hall,Marshall University,NA
DUI,C18-0004780.A25,2018-03-21,2018-03-21,15:17,5th Ave / 19th Street,Marshall University,NA
Striking Unattended Vehicle,C18-0005024.A31,2018-03-26,2018-03-26,12:00,Engineering Parking Lot,Marshall University,NA
Anonomous Sexual Assault,C18-0005218.A20,2018-03-29,2018-03-28,13:31,Gibson Hall,Marshall University,NA
Petit Larceny,C18-0005241.A24,2018-03-29,2018-03-28,21:44,Recreation Center,Marshall University,NA
Striking Unattended Vehicle,C18-0005585.A24,2018-04-04,2018-04-03,16:30,WAEC Lot,Marshall University,NA
Fraudulent Use,C18-0005635.A25,2018-04-05,2017-11-24,11:55,Memorial Student Center,Marshall University,NA
Trespassing,C18-0005704.A35,2018-04-06,2018-04-06,12:30,17th Street / 5th Ave,Marshall University,NA
Possession of Marijuana,C18-0005929.A28,2018-04-09,2018-04-09,01:47,1800 Block / Maple Ave,Marshall University,NA
Trespassing,C18-0005945.A20,2018-04-09,2018-04-09,10:01,Gullickson Hall,Marshall University,NA
Driving Suspended,C18-0005954.A31,2018-04-09,2018-04-09,11:08,Engineering Parking Lot,Marshall University,NA
Possession of Marijuana,C18-0005960.A29,2018-04-09,2018-04-09,13:11,South Residence Hall,Marshall University,NA
Obstructing,C18-0006010.A34,2018-04-10,2018-04-10,14:58,2100 Block / 6th Ave,Marshall University,NA
Striking Unattended Vehicle,C18-0006040.A18,2018-04-10,2018-04-10,16:15,Engineering Parking Lot,Marshall University,NA
Violation of Protection Order,C18-0006209.A20,2018-04-13,2018-04-13,08:47,MU Campus,Marshall University,NA
Fraudulent Schemes,C18-0006274.A25,2018-04-14,2018-04-03,00:36,Marshall University Campus,Marshall University,NA
Petit Larceny,C18-0006517.A35,2018-04-17,2018-04-11,12:07,Bias Carriage House,Marshall University,NA
Petit Larceny,C18-0006597.A25,2018-04-18,2018-04-18,15:07,Wellman Hall,Marshall University,NA
Striking Unattended Vehicle,C18-0006662.A20,2018-04-18,2018-04-17,08:01,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C18-0006677.A35,2018-04-19,2018-04-19,03:34,Recreation Center,Marshall University,NA
Destruction of Property,C18-0007135.A27,2018-04-26,2018-04-26,13:35,1900 Block / 5 1/2 Alley,Marshall University,NA
Unassigned Incident,C18-0007140.A35,2018-04-26,2018-04-26,15:36,Engineering Parking Lot,Marshall University,NA
Duty Striking Unattended Vehicle,C18-0007946.A35,2018-05-05,2018-05-04,09:02,Stadium Lot,Marshall University,NA
Destruction of Property,C18-0008150.A35,2018-05-11,2018-05-10,12:04,College Ave,Marshall University,NA
Destruction of Property,C18-0008152.A25,2018-05-11,2018-05-09,13:07,Wellman Hall,Marshall University,NA
Sexual Assault,C18-0008559.A10,2018-05-17,2018-05-09,NA,Dorm Room,Marshall University,NA
Petit Larceny,C18-0008408.A35,2018-05-15,2018-05-15,08:29,Recreation Center,Marshall University,NA
Capias,C18-0008970.A27,2018-05-23,2018-05-23,14:35,1800 Block / College Ave,Marshall University,NA
Strangulation of an Officer,C18-0009245.A28,2018-05-28,2018-05-28,01:14,300 Block / 16th Street,Marshall University,NA
B & E,C18-0009579.A35,2018-06-02,2018-06-02,10:15,RCBI Building,Marshall University,NA
Grand Larceny,C18-0009837.A25,2018-06-06,2018-05-29,10:31,Communications Building,Marshall University,NA
Execute Warrant,C18-0009974.A31,2018-06-08,2018-06-08,08:27,Public Safety Building,Marshall University,NA
Harassment,C18-0010337.A20,2018-06-13,2018-03-01,13:07,Campus,Marshall University,NA
Attempted Suicide,C18-0010729.A35,2018-06-19,2018-06-19,14:03,Twin Towers West,Marshall University,NA
Possession w/ Intent to Deliver,C18-0011023.A23,2018-06-23,2018-06-23,20:10,18th Street / 5th Avenue,Marshall University,NA
Larceny,C18-0011135.A27,2018-06-25,2018-06-20,12:29,INTO Building,Marshall University,NA
Sexual Assault,C18-0011177.A20,2018-06-26,2018-06-23,08:28,1500 Block / 5th Ave,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0011611.A22,2018-07-02,2018-07-02,18:47,University Physicians,Marshall University,NA
Fleeing - Vehicle,C18-0012172.A23,2018-07-10,2018-07-10,20:12,19th Street / 3rd Avenue,Marshall University,NA
Information Only,C18-0012114.A28,2018-07-10,2018-07-10,03:33,Twin Towers West,Marshall University,NA
Petit Larceny,C18-0012593.A35,2018-07-17,2018-05-08,10:05,Smith Hall,Marshall University,NA
Domestic Battery,C18-0012640.A27,2018-07-17,2018-07-17,08:32,2100 Block / 6th Avenue,Marshall University,NA
Simple Possession,C18-0013621.A23,2018-07-30,2018-07-30,21:13,Drinko Library,Marshall University,NA
Grand Larceny,C18-0013659.A33,2018-07-31,2018-07-31,11:38,Drinko Library,Marshall University,NA
Breaking & Entering Auto,C18-0013800.A20,2018-08-02,2018-08-02,12:34,5th Ave / 19th Street Lot,Marshall University,NA
Execute Warrant,C18-0013802.A27,2018-08-02,2018-08-02,14:23,Memorial Student Center,Marshall University,NA
Stolen Vehicle,C18-0013907.A32,2018-08-04,2018-08-03,06:05,Placent Center Parking Lot,Marshall University,NA
Capias,C18-0014627.A28,2018-08-13,2018-08-13,01:47,Drinko Circle,Marshall University,NA
Possession of a Controlled Substance w/ intent to Deliver,C18-0014721.A34,2018-08-14,2018-08-14,01:41,Child Development Center,Marshall University,NA
Underage Drinking,C18-0014507.A26,2018-08-11,2018-08-11,22:04,20th Street / 4 1/2 Alley,Marshall University,NA
Underage Drinking,C18-0014809.A28,2018-08-15,2018-08-15,03:05,18th Street / 5th Avenue,Marshall University,NA
Underage Drinking,C18-0014982.A33,2018-08-17,2018-08-17,02:30,Holderby Hall,Marshall University,NA
Unlawful Restraint,C18-0015031.A23,2018-08-17,2018-08-17,16:50,16th Street / 3rd Ave,Marshall University,NA
Unlawful Drinking Under 21,C18-0015052.A28,2018-08-18,2018-08-17,01:13,North Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0015068.A17,2018-08-18,2018-08-18,02:51,1600 Block / 4th Ave,Marshall University,NA
Striking Unattended Vehicle,C18-0015142.A29,2018-08-18,2018-08-14,20:59,MU Parking Lot,Marshall University,NA
Destruction of Property,C18-0015175.A33,2018-08-19,2018-08-19,02:22,Maple Ave / 19th Street,Marshall University,NA
Petit Larceny,C18-0015178.A17,2018-08-19,2018-08-19,03:04,1700 Block / 6th Ave,Marshall University,NA
Striking Unattended Vehicle,C18-0015323.A22,2018-08-20,2018-08-20,17:42,3rd Ave Parking Garage,Marshall University,NA
Capias-Active Warrant,C18-0015375.A28,2018-08-21,2018-08-21,01:53,1700 Block / 6th Ave,Marshall University,NA
Trespassing,C18-0015385.A28,2018-08-21,2018-08-21,05:46,17th Street / 5th Ave,Marshall University,NA
Bomb Threat,C18-0015386.A34,2018-08-21,2018-08-21,06:20,Marshall Football Stadium,Marshall University,NA
Sexual Assault,C18-0015427.A18,2018-08-21,NA,NA,South Residence Hall,Marshall University,NA
Executing Capias,C18-0015477.A28,2018-08-22,2018-08-22,07:18,2000 Block / 5th Ave,Marshall University,NA
Warrant Service,C18-0015586.A27,2018-08-23,2018-08-23,12:04,14th Street / 4th Avenue,Marshall University,NA
Violation of PSO,C18-0015587.A25,2018-08-23,2018-08-23,12:43,Memorial Student Center,Marshall University,NA
Warrant Service,C18-0015617.A23,2018-08-23,2018-08-23,22:30,Jake's Sports Bar,Marshall University,NA
Underage Drinking,C18-0015637.A34,2018-08-23,2018-08-23,21:00,Campus,Marshall University,NA
Unlawful Drinking Under 21,C18-0015722.A28,2018-08-25,2018-08-25,01:36,6th Ave / John Marshall Drive,Marshall University,NA
Possession of Marijuana,C18-0015777.A28,2018-08-26,2018-08-26,01:04,1600 Block / 3rd Ave,Marshall University,NA
Unlawful Drinking Under 21,C18-0015788.A17,2018-08-26,2018-08-26,05:23,2100 Block / 5th Avenue,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0015982.A22,2018-08-28,2018-08-28,15:47,Stadium Parking Lot,Marshall University,NA
B&E Auto,C18-0016027.A32,2018-08-29,2018-08-28,00:26,Northeast end of Shewey Bldg,Marshall University,NA
Suicidal Threats,C18-0016035.A17,2018-08-29,2018-08-29,02:05,Holderby Hall,Marshall University,NA
Striking Unattended Vehicle,C18-0016231.A20,2018-08-31,2018-08-31,10:29,3rd Ave Parking Garage,Marshall University,NA
Possession,C18-0016241.A29,2018-08-31,2018-08-31,16:16,Domino's Parking Lot,Marshall University,NA
Unlawful Drinking Under 21,C18-0016270.A17,2018-09-01,2018-09-01,01:51,1700 Block / College Ave,Marshall University,NA
Unlawful Drinking Under 21,C18-0016332.A28,2018-09-02,2018-09-02,01:12,16th Street / 5th Avenue,Marshall University,NA
Trespassing,C18-0016446.A14,2018-09-03,2018-09-03,10:30,1800 Block / 4th Ave,Marshall University,NA
Contraband/Paraphernalia,C18-0016619.A23,2018-09-05,2018-09-05,14:05,M Club Drive,Marshall University,NA
Petit Larceny,C18-0016622.A35,2018-09-05,2018-09-04,14:58,Recreation Center,Marshall University,NA
Unlawful Drinking Under 21,C18-0016656.A30,2018-09-06,2018-09-06,00:51,1600 Block / 3rd Ave,Marshall University,NA
Possession of Marijuana,C18-0016734.A29,2018-09-06,2018-09-06,19:24,Twin Towers West,Marshall University,NA
Underage Consumption,C18-0016890.A23,2018-09-08,2018-09-18,19:34,Student Parking behind Meyers,Marshall University,NA
Unlawful Drinking Under 21,C18-0016859.A28,2018-09-08,2018-09-08,04:12,400 Block / 18th Street,Marshall University,NA
Execute Warrant,C18-0016957.A29,2018-09-09,2018-09-09,17:40,Corbly Hall,Marshall University,NA
Possession of Controlled Substance,C18-0017075.A34,2018-09-11,2018-09-11,01:37,22nd Street / 5th Ave,Marshall University,NA
Unassigned Incident,C18-0017089.A20,2018-09-11,2018-09-11,15:40,Campus,Marshall University,NA
Unassigned Incident,C18-0017155.A20,2018-09-11,2018-09-11,16:15,Campus,Marshall University,NA
Petit Larceny,C18-0017338.A20,2018-09-14,2018-09-12,13:11,Buskirk Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0017391.A28,2018-09-15,2018-09-15,02:13,North Residence Hall,Marshall University,NA
Altered Registration,C18-0017501.A16,2018-09-16,2018-09-16,12:05,500 Block / 13th Street,Marshall University,NA
Petit Larceny,C18-0017520.A29,2018-09-16,2018-09-16,18:30,South Residence Hall,Marshall University,NA
Possession of Marijuana,C18-0017524.A29,2018-09-16,2018-09-16,22:11,Twin Towers West,Marshall University,NA
Petit Larceny,C18-0017655.A27,2018-09-20,2018-09-17,14:15,Memorial Student Center,Marshall University,NA
Shoplifting,C18-0017656.A20,2018-09-18,2018-09-18,11:55,Memorial Student Center,Marshall University,NA
Unassigned Incident,C18-0017667.A16,2018-09-18,2018-09-18,15:47,1249 15th Street,Marshall University,NA
Petit Larceny,C18-0017755.A27,2018-09-19,2018-09-19,13:57,Fine Arts,Marshall University,NA
Robbery,C18-0017757.A20,2018-09-18,2018-09-18,14:25,300 Block / 16th Street,Marshall University,NA
Underage Consumption,C18-0017778.A23,2018-09-15,2018-09-15,23:25,Twin Towers West,Marshall University,NA
DUI 1st Offense,C18-0017966.A28,2018-09-22,2018-09-22,04:18,1900 Block / Commerce Ave,Marshall University,NA
Unassigned Incident,C18-0017994.A29,2018-09-22,2018-09-22,16:25,3rd Ave Parking Garage,Marshall University,NA
Unlawful Drinking Under 21,C18-0018012.A34,2018-09-23,2018-09-23,02:11,Holderby Hall,Marshall University,NA
Disorderly Conduct,C18-0018019.A33,2018-09-23,2018-09-23,02:38,Bio-Tech Center,Marshall University,NA
Contraband/Paraphernalia,C18-0018051.A29,2018-09-23,2018-09-23,18:14,North Residence Hall,Marshall University,NA
DUI 1st Offense,C18-0018069.A28,2018-09-24,2018-09-23,00:49,1600 Block / 5th Ave,Marshall University,NA
Entering without Breaking,C18-0018165.A35,2018-09-25,2018-09-22,10:40,522 22nd Street,Marshall University,NA
Stalking/Harrassment,C180018351.A29,2018-09-27,2018-09-26,18:02,Recreation Center,Marshall University,NA
DUI 1st Offense,C18-0018454.A28,2018-09-29,2018-09-29,03:30,1600 Block / 5th Ave,Marshall University,NA
Unlawful Drinking Under 21,C18-0018568.A28,2018-10-01,2018-10-01,00:48,5 1/2 Alley / 1600 Block,Marshall University,NA
Possession w/ Intent to Deliver,C18-0018600.A20,2018-10-01,2018-10-01,08:15,300 Block / 18th Street,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0018605.A31,2018-10-01,2018-09-29,11:29,Student Lot / Maple Ave,Marshall University,NA
Stalking,C18-0018679.A27,2018-10-02,2018-10-02,11:30,Drinko Library,Marshall University,NA
Larceny,C18-0018692.A27,2018-10-02,2018-09-28,15:12,South Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0018981.A29,2018-10-06,2018-10-06,17:56,John C. Edwards Playhouse,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0018984.A29,2018-10-05,2018-10-05,20:00,2202 3rd Avenue,Marshall University,NA
Unassigned Incident,C18-0019166.A27,2018-10-09,2018-10-09,09:43,Twin Towers East,Marshall University,NA
Possession of Marijuana,C18-0019245.A35,2018-10-10,2018-10-10,10:54,Engineering Lot,Marshall University,NA
Invasion of Privacy,C18-0019244.A27,2018-10-10,2018-10-10,09:55,South Residence Hall,Marshall University,NA
Forging or Uttering,C18-0019307.A31,2018-10-11,2018-10-03,08:40,Shewing Building,Marshall University,NA
Fraudulent Schemes,C18-0019320.A31,2018-10-11,2018-08-15,15:02,Campus,Marshall University,NA
Harassment,C18-0019326.A29,2018-10-11,2018-10-02,16:26,Campus,Marshall University,NA
Harassment,C18-0019390.A29,2018-10-12,2018-10-08,16:10,Campus,Marshall University,NA
Overdose,C18-0019402.A29,2018-10-12,2018-10-12,20:27,Gibson Hall,Marshall University,NA
Overdose,C18-0019403.A29,2018-10-12,2018-10-12,23:20,Wellman Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0019413.A29,2018-10-13,2018-10-13,00:32,South Residence Hall,Marshall University,NA
DUI 1st Offense,C18-0019434.A28,2008-10-13,2018-10-13,04:08,2000 Block / 5th Ave,Marshall University,NA
Obstruction,C18-0019497.A28,2018-10-14,2018-10-14,01:27,Memorial Student Center Plaza,Marshall University,NA
Petit Larceny,C18-0019505.A17,2018-10-14,2018-10-14,03:43,19th Street / 5th Avenue,Marshall University,NA
Possession of a Controlled Substance,C18-0019507.A34,2018-10-14,2018-10-14,06:05,500 Block / 18th Street,Marshall University,NA
Shoplifting,C18-0019594.A31,2018-10-15,2018-10-15,11:37,Memorial Student Center,Marshall University,NA
Shoplifting,C18-0019666.A27,2018-10-16,2018-10-16,13:39,Bookstore,Marshall University,NA
Trespassing,C18-0019687.A18,2018-10-16,2018-10-16,21:30,1710 6th Avenue,Marshall University,NA
Overdose,C18-0019813.A29,2018-10-18,2018-10-18,05:39,3rd Ave Parking Garage,Marshall University,NA
Harassment,C18-0019859.A31,2018-10-19,2018-10-19,12:30,Memorial Student Center,Marshall University,NA
Battery,C18-0019921.A20,2018-10-20,2018-10-20,15:44,Football Stadium,Marshall University,NA
Unlawful Drinking Under 21,C18-0019928.A29,2018-10-20,2018-10-20,19:57,North Residence Hall,Marshall University,NA
Underage Consumption,C18-0019959.A34,2018-10-21,2018-10-21,01:32,Buskirk Hall,Marshall University,NA
Underage Consumption,C18-0019967.A30,2018-10-21,2018-10-21,03:11,Holderby Hall,Marshall University,NA
Domestic,C18-0020412.A33,2018-10-28,2018-10-28,01:10,Haymaker Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0020447.A29,2018-10-28,2018-10-28,09:54,North Residence Hall,Marshall University,NA
Harassment by Computer,C18-0020575.A20,2018-10-30,2018-10-30,14:45,Campus,Marshall University,NA
Threats of Suicide,C18-0020601.A17,2018-10-31,2018-10-31,02:43,Haymaker Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0020657.A17,2018-11-01,2018-11-01,01:02,Twin Towers East,Marshall University,NA
Domestic Violence,C18-0020701.A20,2018-11-01,2018-09-18,15:45,Campus,Marshall University,NA
Duty Striking Unattended Vehicle,C18-0020808.A35,2018-11-03,2018-10-28,08:21,Stadium Lot,Marshall University,NA
DUI 1st Offense,C18-0020848.A33,2018-11-04,2018-11-04,00:29,19th Street / 5 1/2 Alley,Marshall University,NA
Threats of Suicide,C18-0020858.A17,2018-11-04,2018-11-04,04:40,Haymaker Hall,Marshall University,NA
Fugitive from Justice,C18-0020905.A29,2018-11-05,2018-11-05,22:45,1900 Block / 5th Ave,Marshall University,NA
B&E Vending Machine,C18-0021126.A32,2018-11-08,2018-11-08,00:16,Corbly Hall,Marshall University,NA
Battery,C18-0021152.A31,2018-11-08,2018-11-08,14:39,Twin Towers West,Marshall University,NA
DUI Under 21,C18-0021254.A28,2018-11-10,2018-11-10,02:48,16th Street / 5th Ave,Marshall University,NA
Unassigned Incident,C18-0021274.A31,2018-11-10,2018-10-20,11:30,Stadium,Marshall University,NA
Unlawful Drinking Under 21,C18-0021481.A32,2018-11-14,2018-11-14,00:58,Haymaker Hall,Marshall University,NA
Grand Larceny,C18-0022076.A29,2018-11-22,2018-11-22,20:12,Twin Towers East,Marshall University,NA
B&E of Auto,C18-0022305.A23,2018-11-26,2018-11-26,15:20,Myers Parking Lot,Marshall University,NA
Petit Larceny,C18-0022365.A36,2018-11-27,2018-11-26,10:14,Engineering Building,Marshall University,NA
Possession of a Controlled Substance,C18-0022657.A30,2018-12-01,2018-12-01,02:43,1800 Block / College Ave,Marshall University,NA
Unlawful Restraint,C18-0022658.A32,2018-12-01,2018-12-01,05:03,Buskirk Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0022861.A36,2018-12-04,2018-12-04,13:34,Byrd Clinical Center,Marshall University,NA
Unassigned Incident,C18-0022829.A26,2018-12-03,2018-12-03,16:45,Memorial Student Center,Marshall University,NA
B&E Auto,C18-0022858.A23,2018-12-04,2018-12-04,11:00,3rd Ave Parking Garage,Marshall University,NA
Unlawful Drinking Under 21,C18-0023189.A30,2018-12-09,2018-12-09,02:12,1600 Block / College Ave,Marshall University,NA
Petit Larceny,C18-0023338.A25,2018-12-11,2018-12-11,09:33,Bio-Tech Center,Marshall University,NA
Assault,C18-0023312.A34,2018-12-11,2018-12-11,00:09,Twin Towers West,Marshall University,NA
Petit Larceny from Vehicle,C18-0023416.A25,2018-12-12,2018-12-12,11:15,Student Lot Maple Ave / 19th St,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C18-0023486.A31,2018-12-13,2018-12-12,12:42,C Lot / 3rd Ave 17th Street,Marshall University,NA
Threats of Terroist Acts,C18-0023489.A36,2018-12-13,2018-12-13,13:56,Old Main,Marshall University,NA
Possession of Marijuana,C18-0023516.A29,2018-12-13,2018-12-13,20:24,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C18-0023609.A17,2018-12-15,2018-12-15,01:33,North Residence Hall,Marshall University,NA
Threats of Terroist Acts,C18-0023777.A27,2018-12-17,2018-12-17,14:25,East Hall,Marshall University,NA
Petit Larceny,C18-0024496.A36,2018-12-29,2018-12-27,12:30,Employee 6th Ave Parking,Marshall University,NA
Destruction of Property,C16-0000334.A25,2016-01-08,2016-01-08,01:46,16th Street / 3rd Avenue,Marshall University,NA
Petit Larceny,C16-0000442.A24,2016-01-10,2016-01-10,21:00,Gibson Hall,Marshall University,NA
Petit Larceny,C16-0000480.A26,2016-01-11,2016-01-10,16:22,North Maple Lot,Marshall University,NA
Petit Larceny,C16-0000506.A26,2016-01-11,2016-01-10,16:22,North Maple Lot,Marshall University,NA
Petit Larceny,C16-0000556.A35,2016-01-12,2016-01-10,18:00,North Maple Lot,Marshall University,NA
Destruction of Property,C16-0000600.A27,2016-01-13,2016-01-10,15:16,General Lot 19th Street / 5th Ave,Marshall University,NA
Transferring Stolen Property,C16-0000664.A24,2016-01-14,2016-01-13,16:34,Bookstore,Marshall University,NA
Possession of Marijuana,C16-0000696.A35,2016-01-14,2016-01-14,23:35,Twin Towers East,Marshall University,NA
Underage Drinking,C16-0000722.A27,2016-01-15,2016-01-15,09:05,Twin Towers West,Marshall University,NA
Unassigned Incident,C16-0000729.A31,2016-01-15,2016-01-12,10:54,16th Street / 3rd Avenue,Marshall University,NA
Harassing Phone Calls,C16-0000730.A30,2016-01-15,2016-01-13,14:10,Corbly Hall,Marshall University,NA
Harassing Phone Calls,C16-0000739.A24,2016-01-15,2016-01-15,19:46,Corbly Hall,Marshall University,NA
Grand Larceny,C16-0000915.A35,2016-01-19,2016-01-19,18:01,Shewey Building,Marshall University,NA
Petit Larceny,C16-0001017.A26,2016-01-20,2016-01-20,22:30,Prichard Hall,Marshall University,NA
Destruction of Property,C16-0001046.A30,2016-01-21,2016-01-21,13:32,Gullickson Hall,Marshall University,NA
Possession of Marijuana,C16-0001049.A27,2016-01-21,2016-01-21,14:36,1600 Block / Commerce Ave,Marshall University,NA
Unlawful Drinking Under 21,C16-0001131.A25,2016-01-23,2016-01-23,12:32,North Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C16-0001158.A25,2016-01-24,2016-01-24,01:34,1500 Block / 5th Avenue,Marshall University,NA
Indecent Exposure,C16-0001203.A30,2016-01-25,2016-01-25,23:18,Myers Hall Lot,Marshall University,NA
Possession of Marijuana,C16-0001209.A30,2016-01-25,2016-01-25,12:51,Holderby Hall,Marshall University,NA
Destruction of Property,C16-0001270.A30,2016-01-26,2016-01-24,10:05,Stadium Lot,Marshall University,NA
Unassigned Incident,C16-0001386.A30,2016-01-27,2016-01-17,09:53,Marshall University Campus,Marshall University,NA
Obstruction,C16-0001440.A27,2016-01-29,2016-01-29,14:04,1300 Block / 3rd Avenue,Marshall University,NA
Unassigned Incident,C16-0001446.A24,2016-01-29,2016-01-29,16:52,Drinko Library,Marshall University,NA
Unlawful Drinking Under 21,C16-0001500.A25,2016-01-31,2016-01-31,02:21,5th Ave / 19th Street,Marshall University,NA
DUI 1st Offense,C16-0001502.A25,2016-01-31,2016-01-31,03:05,4th Ave / 16th Street,Marshall University,NA
Sexual Assault in 2nd Degree,C16-0001574.A30,2016-02-01,2016-02-01,16:24,South Residence Hall,Marshall University,NA
Unassigned Incident,C16-0001633.A35,2016-02-02,2016-02-02,16:54,Softball Lot,Marshall University,NA
Petit Larceny,C16-0001675.A27,2016-02-03,2016-02-02,08:52,Science Building,Marshall University,NA
Petit Larceny,C16-0001747.A27,2016-02-04,2016-02-04,13:49,Drinko Library,Marshall University,NA
Battery,C16-0001754.A27,2016-02-04,2016-02-04,14:39,Harless Dining Hall,Marshall University,NA
Possession of Marijuana,C16-0001828.A31,2016-02-05,2016-02-05,15:06,Twin Towers East,Marshall University,NA
Hit & Run,C16-0001837.A35,2016-02-05,2016-02-05,16:48,3rd Ave / 16th Street,Marshall University,NA
Underage Consumption,C16-0001846.A35,2016-02-05,2016-02-05,23:10,Twin Towers East,Marshall University,NA
