Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Event,18UV000721,02/02/2018,1235,01/17-19/2018,Unk,Davis Center,Closed
Stalking,18UV000723,02/02/2018,1432,Unk,Unk,Various UVM Campus Locations,Closed; Report to Title IX; subject cited for Disclosure of Sexually Explicit Images without Consent
Intrusion Alarm,18UV000725,02/02/2018,1823,02/02/2018,1823,Waterman,Closed
Traffic / Drugs,18UV000726,02/02/2018,1836,02/02/2018,1836,S Prospect St / Robinson Pkwy,Closed; Report to CSC
Fire Alarm,18UV000729,02/02/2018,2043,02/02/2018,2043,CCRH,Closed
Motor Vehicle Complaint,18UV000731,02/02/2018,2225,02/02/2018,2225,Trinity Campus,Closed
Noise,18UV000733,02/02/2018,2239,02/02/2018,2239,Redstone Lofts,Closed; noise warning issued
Agency Assist,18UV000738,02/02/2018,2333,02/02/2018,2333,Pearl St / Orchard Ter,Closed; assist to BPD
Traffic / Drugs,18UV000742,02/03/2018,0009,02/03/2018,0009,Colchester Ave / University Rd,Closed
Welfare Check,18UV000745,02/03/2018,0056,02/03/2018,0056,Marsh Austin Tupper,Closed
Medical Assist / Intoxication,18UV000746,02/03/2018,0108,02/03/2018,0108,Wilks,Closed; affiliate transported to UVMMC by UVM Rescue & report to CSC
Medical Assist / Agency Assist / Drugs,18UV000752,02/03/2018,0244,02/03/2018,0244,239 S Prospect St,Closed; affiliate transported to UVMMC; assist to BPD; report to CSC/Cares
Medical Assist,18UV000754,02/03/2018,0851,02/03/2018,0851,Tupper,Closed; affiliate transported to UVMMC by UVM Rescue
Intrusion Alarm,18UV000755,02/03/2018,0858,02/03/2018,0858,460 S Prospect St,Closed
Medical Assist,18UV000756,02/03/2018,1025,02/03/2018,1025,Living & Learning,Closed; affiliate transported to UVMMC by UVM Rescue
Accident - Property Damage,18UV000760,02/03/2018,1557,02/03/2018,1557,East Ave / Carrigan Dr,Closed
Medical Assist,18UV000762,02/03/2018,1838,02/03/2018,1838,Gutterson Field House,Closed; non affiliate transported to UVMMC by UVM Rescue
Citizen Assist / Blue Light Alarm,18UV000772,02/03/2018,2101,02/03/2018,2101,Rowell Outside,Closed
Late Reported Sexual Assault,18UV000777,02/03/2018,2146,Unk,Unk,Unknown Location,Closed; referred to Title IX coordinator
Traffic / DLS,18UV000780,02/03/2018,2150,02/03/2018,2150,"Interstate 89, S Burlington",Closed; non affiliate cited into court for Driving While Suspended
Parking Violation,18UV000781,02/03/2018,2229,02/03/2018,2229,Mercy Outside,Closed
Drugs,18UV000784,02/03/2018,2319,02/03/2018,2319,Wilks,Closed; affiliates issued Alternative Justice Paperwork; report to CSC
Medical Assist / Intoxication,18UV000785,02/03/2018,2342,02/03/2018,2342,Christie,Closed; affiliate transported to UVMMC by UVM Rescue; Report to CSC
Fire Alarm,18UV000786,02/03/2018,2357,02/03/2018,2357,Living & Learning,Closed
Elevator Alarm,18UV000787,02/04/2018,0021,02/04/2018,0021,University Hgts North 2,Closed
Citizen Assist,18UV000788,02/04/2018,0131,02/04/2018,0131,Jeanne Mance,Closed
Unsecured Premise,18UV000790,02/04/2018,0206,02/04/2018,0206,Pearl House,Closed
Welfare Check,18UV000791,02/04/2018,0209,02/04/2018,0209,Coolidge,Closed; non substantiated
Fire Alarm,18UV000792,02/04/2018,0231,02/04/2018,0231,Marsh,Closed
Welfare Check / Alcohol Offense,18UV000793,02/04/2018,0255,02/04/2018,0255,CCRH,Closed; affiliate located; Report to CSC
Citizen Assist / Blue Light Alarm,18UV000794,02/04/2018,0256,02/04/2018,0256,UVM Main Green,Closed
Medical Assist / Alcohol Offense,18UV000795,02/04/2018,0300,02/04/2018,0300,Wilks Hall,Closed; affiliate evaluated by UVM Rescue no transport; Report to CSC
Motorist Assist,18UV000798,02/04/2018,1025,02/04/2018,1025,Gutterson Garage,Closed
Accident,18UV000799,02/04/2018,1245,02/03/2018,1900,Gutterson Garage,Closed
Drugs,18UV000800,02/04/2018,1449,02/04/2018,1449,Millis,Closed; Report to CSC
Vandalism,18UV000802,02/04/2018,2357,Unk,   Unk,CCRH,Open
Traffic / DUI,18UV000803,02/05/2018,0052,02/05/2018,0052,Colchester Ave / Calarco Ct,Closed; Non Affiliate cited into court for DUI
Vandalism Graffiti,18UV000804,02/05/2018,0126,Unk,Unk,Living and Learning,Open
Agency Assist / Pursuit /Arrest on Warrant,18UV000808,02/05/2018,1033,02/05/2018,1033,Gutterson Garage,Closed; assist to SBPD
Citizen Assist,18UV000810,02/05/2018,1635,02/05/2018,1635,Waterman,Closed
Welfare Check,18UV000811,02/05/2018,1749,02/05/2018,1749,Mann,Closed; affiliate located and referred to UVM Cares
Intrusion Alarm,18UV000814,02/05/2018,2106,02/05/2018,2106,Fleming,Closed
Intrusion Alarm,18UV000819,02/06/2018,0419,02/06/2018,0419,460 S Prospect St,Closed
Citizen Assist,18UV000823,02/06/2018,1019,02/06/2018,1019,Wing Davis Wilks Parking Lot,Closed
Motor Vehicle Complaint,18UV000832,02/06/2018,2237,02/06/2018,2237,Summit St / Cliff St,Closed
Late Reported Sexual Assault / Trespassing,18UV000833,02/06/2018,2239,02/02-06/2018,Unk - 2110,CCRH,Closed; Report to Title IX; Referred to CUSI; Non affiliate trespassed from campus
Hazing/Aggravated Assault (drugging),18UV000836,02/07/2018,0312,Fall 2017,Unk,Unknown Off Campus Location,Closed
Welfare Check,18UV000837,02/07/2018,0431,02/07/2018,0431,Williston Rd @ Staples Plaza,Closed
Fire,18UV000838,02/07/2018,0841,02/07/2018,0841,Allen House Parking Lot,Closed
Property Damage,18UV000839,02/07/2018,0933,02/02/2018,0700-1530,PFG Parking Garage,Closed
Medical Assist/ Drugs,18UV000841,02/07/2018,1754,02/07/2018,1754,Royal Tyler Theatre Outside,Closed; affiliate transported to UVMMC by UVM Rescue; referred to CSC
Agency Assist / Paperwork Service,18UV000842,02/07/2018,1809,02/07/2018,1809,284 East Ave,Closed; assist to Chittenden Superior Court
Parking Violation,18UV000845,02/07/2018,2132,02/07/2018,2132,University Hgts North 1 Parking Lot,Closed
Sexual Assault,18UV000852,02/08/2018,1331,10/13/2017,Unknown,"Off campus location, Burlington",Closed Referred to CUSI and Title IX coordinator.
Intrusion Alarm,18UV000854,02/08/2018,1736,02/08/2018,1736,"Training and Compliance Office, Essex",Closed
Medical Assist,18UV000857,02/08/2018,2217,02/08/2018,2217,University Heights South,Closed; affiliate transported to UVMMC by UVM Rescue.
Agency Assist / Welfare Check,18UV000861,02/09/2018,0010,02/09/2018,0010,284 East Ave,Closed; Assist to BPD; Referred to Title IX
Alcohol Offense,18UV000864,02/09/2018,0109,02/09/2018,0109,CCRH,Closed; report to CSC
Noise Complaint,18UV000866,02/09/2018,0215,02/09/2018,0215,Mercy,Closed; not substantiated
Alcohol Offense,18UV000869,02/09/2018,0422,02/09/2018,0422,Davis,Closed; report to CSC
Trespass,18UV000872,02/09/2018,0833,02/09/2018,0833,Living & Learning,Closed; non affiliate cited to appear in court for Trespass
Vandalism / Graffiti,18UV000874,02/09/2018,1004,02/08-09/2018,2100 - 1004,RTT Bus Stop,Closed
Fraud,18UV000876,02/09/2018,1205,Unknown,Unknown,CCRH,Open
Assist Other / Vandalism,18UV000877,02/09/2018,1306,02/09/2018,Unknown,Mercy,Closed; not substantiated
Stalking / Safety Planning,18UV000878,02/09/2018,1514,10/01/2017 - 02/08/2018,Various,CCRH,Closed; referred to title IX
Property Damage,18UV000879,02/09/2018,1516,02/09/2018,Unknown,"I89, Sutton NH",Closed
Agency Assist / Attempt to Locate,18UV000884,02/09/2018,2207,02/09/2018,2207,Patrick Gym,Closed; assist to WPD
Medical Assist,18UV000885,02/09/2018,2237,02/09/2018,2237,Gutterson,Closed; affiliate transported by UVM Rescue to UVMMC
Parking Violation,18UV000886,02/09/2018,2251,02/09/2018,2251,University Heights Road,Closed
Fire Alarm,18UV000887,02/09/2018,2251,02/09/2018,2251,CWP,Closed
Intrusion Alarm,18UV000890,02/10/2018,0252,02/10/2018,0252,460 S Prospect St,Closed
Motor Vehicle Complaint,18UV000891,02/10/2018,0327,02/10/2018,0327,PFG Garage,Closed
Intrusion Alarm,18UV000892,02/10/2018,0345,02/10/2018,0345,460 S Prospect St,Closed
Agency Asist / Attempt to locate / Welfare Check,18UV000893,02/10/2018,0447,02/10/2018,0447,Hamilton,Closed; assist to BPD
First Amendment Event,18UV000895,02/10/2018,0951,02/10/2018,0951,Davis Center,Closed
Agency Assist,18UV000896,02/10/2018,1154,02/10/2018,1154,284 East Ave,Closed; assist to Castleton Fire Department
Property Damage,18UV000897,02/10/2018,1508,02/10/2018,1508,Patrick Gym Parking Lot,Closed; not substantiated
Agency Assist / Attempt to Locate,18UV000899,02/10/2018,2032,02/10/2018,2032,"Maple St, Winooski",Closed; assist to WPD
Intoxication,18UV000900,02/10/2018,2256,02/10/2018,2256,Redstone Lofts,Closed; affiliate transported to UVMMC by UVM Rescue & referred to CSC
Fire Alarm / Intoxication / Sexual Assault,18UV000905,02/11/2018,0128,02/11/2018,0128,University Heights North / Unknown location,"Closed; affiliate transported to UVMMC by UVM Rescue, referred to Title IX & CSC"
Intoxication,18UV000906,02/11/2018,0148,02/11/2018,0148,Millis Hall,Closed; non affiliate transported to ACT 1
Agency Assist,18UV000907,02/11/2018,0218,02/11/2018,0218,19 Gregory Dr,Closed; assist to SBPD
DLS,18UV000911,02/11/2018,0242,02/11/2018,0242,"Susie Wilson Rd / RT 15, Essex",Closed; non affiliate cited into court for DLS
Agency Assist / Attempt to Locate,18UV000914,02/11/2018,0430,02/11/2018,0430,Tupper,Closed; assist to CPD
Parking Violation,18UV000915,02/11/2018,0448,02/11/2018,0448,460 S Prospect St,Closed
Fire Alarm,18UV000916,02/11/2018,0839,02/11/2018,0839,Outing Club,Closed
Medical Assist,18UV000918,02/11/2018,1635,02/11/2018,1635,Gutterson Lot,Closed; Non Affiliate UVM Rescue transported to UVM MC
Medical Assist,18UV000919,02/11/2018,1852,02/11/2018,1852,Pool PFG Complex,Closed; UVM Rescue transported to UVM MC
Vandalism,18UV000920,02/11/2018,1914,Unk,Unk,CCRH,Open
Welfare Check,18UV000923,02/12/2018,0104,02/12/2018,0104,Main St / Summit St,Closed
Motor Vehicle Complaint,18UV000927,02/12/2018,0627,02/12/2018,0627,PFG Garage,Closed
Medical Assist,18UV000928,02/12/2018,0643,02/12/2018,0643,Davis Center Outside,Closed; non affiliate evaluated by UVM Rescue no transport
Motorist Assist,18UV000929,02/12/2018,0815,02/12/2018,0815,East Ave / Carrigan Dr,Closed
Citizen Assist,18UV000931,02/12/2018,0940,02/12/2018,0940,Mann Hall,Closed
Larceny,18UV000933,02/12/2018,1304,Unk,Unk,Waterman,Open incident
Agency Assist,18UV000935,02/12/2018,1508,02/12/2018,1508,Helipad,Closed; assist to UVM Rescue
Medical Assist,18UV000937,02/12/2018,1740,02/12/2018,1740,Terrill Outside,Closed; affiliate transported to UVMMC by UVM Rescue
Citizen Assist,18UV000939,02/12/2018,1801,02/12/2018,1801,Slade,Closed
Animal Problem,18UV000943,02/13/2018,0853,02/13/2018,0853,Votey Parking Lot,Closed
Elevator Alarm,18UV000946,02/13/2018,0930,02/13/2018,0930,Lattie Coor House,Closed
Motorist Assist,18UV000947,02/13/2018,1141,02/13/2018,1141,Colchester Ave / University Pl,Closed
Suspicious Event / Agency Assist,18UV000949,02/13/2018,1317,Unk,Unk,Off Campus Location,Closed; assist to Essex Police
Citizen Assist,18UV000950,02/13/2018,1345,02/13/2018,1345,CCRH,Closed
Agency Assist / Recovered Property,18UV000951,02/13/2018,1429,02/13/2018,1429,PFG Parking Garage,Closed; assist to Chittenden County Sheriffs Dept.
Fire Alarm,18UV000952,02/13/2018,1530,02/13/2018,1530,Living & Learning,Closed
Intrusion Alarm,18UV000955,02/13/2018,1944,02/13/2018,1944,460 S Prospect St,Closed
Vandalism - Graffiti,18UV000960,02/13/2018,2039,Unk,Unk,Bailey Howe Library Outside,Open incident
Citizen Assist,18UV000961,02/13/2018,2054,02/13/2018,2054,Jeanne Mance,Closed
Intrusion Alarm,18UV000962,02/13/2018,2059,02/13/2018,2059,460 S Prospect St,Closed
Recovered Property,18UV000964,02/13/2018,2126,02/13/2018,2126,Jeanne Mance,Closed
Property Damage,18UV000965,02/13/2018,2222,02/13/2018,0451,Harris Millis Parking Lot,Closed
Citizen Assist,18UV000966,02/13/2018,2233,02/13/2018,2233,Southwick Parking Lot,Closed
Fraud,18UV000971,02/14/2018,1016,Unknown,Unknown,Harris,Open
Stalking,18UV000972,02/14/2018,1053,09/2017 - 02/2018,Various,Various on campus locations,Open; referred to title IX
UVM Policy Violation,18UV000973,02/14/2018,1618,02/14/2018,1618,Outside University Heights South,Closed
ATM Alarm,18UV000977,02/14/2018,1924,02/14/2018,1924,Davis Center,Closed
Suspicious Event,18UV000979,02/14/2018,1957,02/14/2018,1957,Outside Hillel Center,Closed;  not substantiated
Fire Alarm,18UV000980,02/14/2018,2045,02/14/2018,2045,Slade Hall,Closed
Fire Alarm,18UV000982,02/14/2018,2213,02/14/2018,2213,University Heights South,Closed
Intrusion Alarm,18UV000983,02/14/2018,2225,02/14/2018,2225,"Training and Compliance Office, Essex",Closed
Suspicious Event,18UV000985,02/14/2018,2312,02/14/2018,2312,Davis Center,Open
Welfare Check,18UV000986,02/15/2018,0101,02/15/2018,0101,Christie Hall,Closed; referred to UVM CARES
Agency Assist,18UV000987,02/15/2018,0324,02/15/2018,0324,284 East Ave,Closed; assist to BPD
Larceny,18UV000994,02/15/2018,1612,02/14/2018,0920 - 1020,Patrick Gym,Closed
UVM Policy Violation,18UV000995,02/15/2018,1720,Unknown,Unknown,Davis Center,Open
Late Reported Sexual Assault,18UV000996,02/15/2018,1727,11/2017,Unknown,Unknown non campus property,Closed; Report to Title IX
Agency Assist / Intrusion Alarm,18UV000997,02/15/2018,1742,02/15/2018,1742,"400 Weaver St, Winooski",Closed
Suspicious Event,18UV000999,02/15/2018,1817,02/15/2018,1817,Kalkin,Closed
Medical Assist,18UV001000,02/15/2018,1920,02/15/2018,1920,Harris Millis,Closed; affiliate evaluated by UVM Rescue no transport
Accident - LSA,18UV001001,02/15/2018,1932,02/15/2018,1932,Simpson Hall Parking Lot,Closed
Larceny,18UV001003,02/15/2018,2123,02/15/2018,0030-0830,Harris Millis,Closed; Property recovered
Recovered Property,18UV001010,02/15/2018,2317,02/15/2018,2317,"S Prospect St, Burlington",Closed
Elevator Alarm,18UV001018,02/16/2018,0217,02/16/2018,0217,Living and Learning,Closed
Alcohol Offense,18UV001019,02/16/2018,0326,02/16/2018,0326,Redstone Hall,Closed; affiliate evaluated by UVM Rescue no transport; report to CSC
Suspicious Event,18UV001021,02/16/2018,0815,02/15/2018 - 02/16/2018,Unknown,College Street Visitors Lot,Closed; not substantiated
Welfare Check,18UV001022,02/16/2018,1422,02/16/2018,1422,Mercy,Closed; referred to UVM CARES
Fire Alarm,18UV001024,02/16/2018,1838,02/16/2018,1838,CCRH,Closed
Assist Citizen,18UV001025,02/16/2018,1845,02/16/2018,1845,Waterman Outside,Closed
Larceny from Motor Vehicle,18UV001035,02/16/2018,2324,02/16/2018,2030-2315,MAT Lot,Closed
Traffic / DUI,18UV001039,02/16/2018,2354,02/16/2018,2354,"Williston Rd, Staples Plaza",Closed; non affiliate cited into court for DUI
Agency Assist / Traffic Stop,18UV001040,02/17/2018,0004,02/17/2018,0004,Main St / Spear St,Closed; assist to SBPD
Drugs,18UV001041,02/17/2018,0012,02/17/2018,0012,Living and Learning Outside,Closed
Medical Assist,18UV001043,02/17/2018,0109,02/17/2018,0109,Millis Hall,Open; affiliate transpored to UVMMC by UVM Rescue. 
Intoxication,18UV001045 ,02/17/2018,0155,02/17/2018,0155,CCRH,Closed; affiliate transported to UVMMC by UVM Rescue; report to CSC
Agency Assist,18UV001047,02/17/2018,0210,02/17/2018,0210,Colchester Ave / East Ave,Closed; assist to Burlington Police
Intoxication,18UV001049,02/17/2018,0322,02/17/2018,0322,438 College St,Closed;  non affiliate transported to ACT I
Agency Assist / Disturbance,18UV001050,02/17/2018,0422,02/17/2018,0422,108 Dorset St,Closed; assist to SBPD
Suspicious Vehicle,18UV001051,02/17/2018,0435,02/17/2018,0435,108 Dorset St,Closed
Intrusion Alarm,18UV001056,02/17/2018,1014,02/17/2018,1014,460 S Prospect St,Closed
Intrusion Alarm,18UV001057,02/17/2018,1942,02/17/2018,1942,460 S Prospect St,Closed
Fire Alarm,18UV001058,02/17/2018,1059,02/17/2018,1059,Kalkin Hall,Closed
Medical Assist,18UV001060,02/17/2018,1127,02/17/2018,1127,Harris Millis Outside,Closed; affiliate transported to UVMMC by UVM Rescue
Intrusion Alarm,18UV001061,02/17/2018,1218,02/17/2018,1218,Morrill Hall,Closed
Trespass,18UV001073,02/18/2018,0105,02/18/2018,0105,CCRH,Closed
Agency Assist,18UV001075,02/18/2018,0231,02/18/2018,0231,Edmunds School parking lot,Closed; assist to Burlington Police
Fire Alarm,18UV001077,02/18/2018,0303,02/18/2018,0303,Mason Simpson Hamilton,Closed
Agency Assist / Sexual Assault,18UV001078,02/18/2018,0356,02/18/2018,0356,"Off campus location, Burlington",Closed; report to Title IX
Agency Assist / 911 Hang up,18UV001080,02/18/2018,0944,02/18/2018,0944,120 Quarry Hill Rd,Closed; assist to SBPD
Medical Assist,18UV001084,02/18/2018,1719,02/18/2018,1719,CCRH,Closed; affiliate transported to UVMMC by UVM Rescue
Drugs,18UV001085,02/18/2018,1814,02/18/2018,1814,Richardson,Closed; report to CSC
Drugs / Found Property,18UV001086,02/18/2018,1835,02/18/2018,1835,PFG Outside,Closed
Motorist Assist,18UV001092,02/18/2018,2159,02/18/2018,2159,S Prospect St / Main St,Closed
Noise,18UV001105,02/19/2018,0331,02/19/2018,0331,Mercy,Closed; noise warning issued & report to CSC
Fire Alarm,18UV001108,02/19/2018,0620,02/19/2018,0620,Christie,Closed
Welfare Check,18UV001116,02/19/2018,2012,02/19/2018,2012,Slade,Closed; affiliate located and referred to UVM Cares
Medical Assist,18UV001117,02/19/2018,2045,02/19/2018,2045,University Hgts North 2,Closed; affiliate located and transported to UVMMC by UVM Rescue
Drugs,18UV001118,02/19/2018,2126,02/19/2018,2126,Living & Learning,Closed; report to CSC
Drugs / Alcohol Offense,18UV001119,02/19/2018,2153,02/19/2018,2153,University Hgts South 2,Closed; report to CSC
Traffic / DLS,18UV001120,02/19/2018,2214,02/19/2018,2214,S Prospect St / College St,Closed; non affiliate cited into court for Driving While Suspended
Property Damage,18UV001128,02/20/2018,0652,Unk,Unk,Davis Hall,Closed
Intrusion Alarm,18UV001130,02/20/2018,0940,02/20/2018,0940,Large Animal Facility,Closed
First Amendment Event,18UV001131,02/20/2018,1209,02/20/2018,1209,Waterman,Closed
Vandalism - Graffiti,18UV001140,02/20/2018,1741,Unk,Unk,Redstone Green,Open incident
Medical Assist,18UV001146,02/20/2018,2148,02/20/2018,2148,McAuley Hall,Closed; affiliate transported to UVM MC ER
Suspicious Event,18UV001150,02/20/2018,2236,02/20/2018,2236,Ira Allen Chapel,Closed
Citizen Assist / Unsecured Premise,18UV001151,02/20/2018,2252,02/20/2018,2252,Harris Millis Loading Dock,Closed
Property Damage,18UV001158,02/21/2018,0550,02/21/2018,0550,UVM Catholic Center Outside,Closed
ATM Alarm,18UV001160,02/21/2018,0807,02/21/2018,0807,1 S Prospect St,Closed
Medical Assist,18UV001165,02/21/2018,1031,02/21/2018,1031,Jeffords Building,Closed; affiliate transported to UVMMC by UVM Rescue
Agency Assist / Attempt to Locate,18UV001169,02/21/2018,1331,02/21/2018,1331,Pearl Street / Catholic Center / Robinson Parkway,Closed; assist to Burlington Police
Accident - Property Damage,18UV001171,02/21/2018,1507,02/21/2018,1507,University Heights Parking Lot,Closed
Late Reported Sexual Assault,18UV001172,02/21/2018,1651,Unk,Unk,Living & Learning,Closed; report to Title IX
Late Reported Sexual Assault,18UV001173,02/21/2018,1652,Unk,Unk,Redstone Lofts,Closed; report to Title IX
Medical Assist,18UV001177,02/21/2018,2001,02/21/2018,2001, Stafford Hall Outside,Closed; affiliated transported to UVMMC by UVM Rescue
Recovered Property,18UV001182,02/21/2018,2319,02/21/2018,2319, Harris Millis Outside,Closed
Medical Assist / Intoxication / Welfare Check,18UV001183,02/21/2018,2323,02/21/2018,2323,Hunt Hall,Closed; affiliate transported to UVMMC by UVM Rescue; report to CSC and CARES
Vandalism - Graffiti,18UV001184,02/21/2018,2349,02/21/2018,1830 - 2240,Outside Coolidge Hall,Open
Stalking / Attempted Sexual Assault,18UV001185,02/22/2018,0029,02/20/2018,Unk,CCRH / Davis Center Outside,Open
Citizen Assist,18UV001196,02/22/2018,1300,02/22/2018,1300,Morrill Hall,Closed
Citizen Assist,18UV001199,02/22/2018,1502,02/22/2018,1502,Centennial Field Parking Lot,Closed
Petit Larceny,18UV001203,02/22/2018,1538,02/22/2018,Unk,Harris Millis,Open
Agency Assist / First Amendment Event,18UV001204,02/22/2018,1648,02/22/2018,1648,S Prospect St,Closed; assist to Burlington Police
Intoxication,18UV001212,02/22/2018,2340,02/22/2018,2340, University Heights North Outside,Closed; affiliate accepted at ACT 1 for detox; report to CSC.
Suspicious Event,18UV001220,02/23/2018,1010,02/23/2018,1010,Given,Closed; not substantiated
First Amendment Event,18UV001221,02/23/2018,1000,02/23/2018,1000 - 1600,Davis Center & Waterman,Closed
